location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Narrabri,North-west Slopes,AU,2019-04-05T18:00:00.000Z,2019-04-06T05:00:00+11:00,pm10,3.6,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T18:00:00.000Z,2019-04-06T05:00:00+11:00,so2,0.083,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T18:00:00.000Z,2019-04-06T05:00:00+11:00,pm25,3.9,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T18:00:00.000Z,2019-04-06T05:00:00+11:00,no2,0.005,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T18:00:00.000Z,2019-04-06T05:00:00+11:00,pm10,7.4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T18:00:00.000Z,2019-04-06T05:00:00+11:00,so2,0.10800000000000001,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T18:00:00.000Z,2019-04-06T05:00:00+11:00,pm10,3.7,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T17:00:00.000Z,2019-04-06T04:00:00+11:00,pm25,4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T17:00:00.000Z,2019-04-06T04:00:00+11:00,pm10,7.4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T17:00:00.000Z,2019-04-06T04:00:00+11:00,no2,0.006999999999999999,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T17:00:00.000Z,2019-04-06T04:00:00+11:00,o3,0.011000000000000001,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T17:00:00.000Z,2019-04-06T04:00:00+11:00,so2,0.10800000000000001,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T17:00:00.000Z,2019-04-06T04:00:00+11:00,pm10,3.5,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T17:00:00.000Z,2019-04-06T04:00:00+11:00,pm10,3.4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T17:00:00.000Z,2019-04-06T04:00:00+11:00,so2,0.081,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T16:00:00.000Z,2019-04-06T03:00:00+11:00,so2,0.10800000000000001,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T16:00:00.000Z,2019-04-06T03:00:00+11:00,pm10,3.7,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T16:00:00.000Z,2019-04-06T03:00:00+11:00,o3,0.017,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
